Symbol,Period,Total Trades,Total Profitable Trades,Percent Profitable Trades,Average Profit Per Trade,Highest Single Trade Profit,Consistency Ratio,Sharpe Ratio
EURUSD=X,In-Sample,686,350,51.02040816326531,0.000193005835002,0.021540880203247,1.0,0.06685756646708889
EURUSD=X,Out-of-Sample,370,188,50.810810810810814,2.608943629909206e-05,0.0064246654510498,0.9811320754716981,0.015460709900232975
GBPUSD=X,In-Sample,888,457,51.46396396396396,0.0001693216261563,0.0245805978775024,1.0,0.04569329163475979
GBPUSD=X,Out-of-Sample,489,265,54.19222903885481,0.0002443390633674,0.016966700553894,0.9811320754716981,0.0912159178136367
USDJPY=X,In-Sample,861,477,55.400696864111495,0.0117550361447217,2.25799560546875,0.9811320754716981,0.02496366977265168
USDJPY=X,Out-of-Sample,697,365,52.36728837876614,-0.0177849396058442,1.8220062255859375,1.0,-0.035462548858233765
AUDUSD=X,In-Sample,1212,595,49.09240924092409,-3.3691377923040102e-06,0.0156608819961547,1.0,-0.00019234517595024514
AUDUSD=X,Out-of-Sample,815,413,50.67484662576687,-1.2563927773317676e-05,0.0060021877288818,1.0,-0.0079743987506957
USDCAD=X,In-Sample,587,300,51.10732538330494,-4.12072193074267e-05,0.0135399103164672,1.0,-0.010948958924735951
USDCAD=X,Out-of-Sample,275,133,48.36363636363637,-5.756291476162997e-05,0.0057600736618041,0.9411764705882353,-0.02721636507198325
USDCHF=X,In-Sample,802,422,52.618453865336654,-4.513669489625089e-05,0.0100399851799011,1.0,-0.013453955919090842
USDCHF=X,Out-of-Sample,560,296,52.85714285714286,0.0001038375709738,0.0090600252151489,1.0,0.05208488304102659
NZDUSD=X,In-Sample,1232,619,50.243506493506494,0.0001190916768142,0.017444372177124,1.0,0.0566373624899109
NZDUSD=X,Out-of-Sample,831,396,47.65342960288809,-1.1284930898250942e-05,0.0109046697616577,1.0,-0.007621867944056689
EURGBP=X,In-Sample,508,249,49.01574803149607,4.449463266087329e-06,0.0100899934768676,0.9622641509433962,0.003304735303641267
EURGBP=X,Out-of-Sample,196,102,52.04081632653062,6.775405942177286e-05,0.0035800337791442,0.9411764705882353,0.05753818133057674
EURJPY=X,In-Sample,849,456,53.71024734982333,0.0179729304409139,2.214996337890625,1.0,0.03494623261150574
EURJPY=X,Out-of-Sample,705,386,54.751773049645394,-0.0097016463042996,2.0279998779296875,0.9811320754716981,-0.016592506501079306
GBPJPY=X,In-Sample,937,487,51.974386339381006,0.0195346372231857,2.727996826171875,1.0,0.035336647642764805
GBPJPY=X,Out-of-Sample,766,405,52.87206266318538,-0.0255169183716139,2.6580047607421875,1.0,-0.04001090974625564
